STOK ID,STOK Kodu,Barkod,Ürün Adı,Kategori,Marka,Alış Fiyatı,Kar Marjı (%),Satış Fiyatı,Piyasa Fiyatı,Tedarikçi,Ofis26 Satış,HEPCAZİP Satış,Güncel Stok,Raf,Kasa,Palet
,30490,,Kromi Ders Programlı 3'lü Etiket,Etiket,Keskin Color,0.0,20,0.0,,Tanımsız,0,0,,,0,0
16523.0,KSK-67,,Keskin Color Okul Etiketi Frozen Ders Programlı 3'lü,Etiket,Keskin Color,10.72,20,12.86,,Tanımsız,0,0,,,0,0
16522.0,KSK-63,,Keskin Color Okul Etiketi Spiderman Ders Programlı 3'lü,Etiket,Keskin Color,10.72,20,12.86,,Tanımsız,0,0,,,0,0
16533.0,KSK-65,,Keskin Color Okul Etiketi Cars Ders Programlı 3'lü,Etiket,Keskin Color,10.72,20,12.86,,Tanımsız,0,0,,,0,0
,,8692556001154,Hatas Cetvel 30 cm Plastik Cetvel 0115,Cetvel,Hatas,,20,,,Tanımsız,0,0,62.0,14,0,0
17528.0,BC-7,3086123714212,Bic Matic Versatil Kalem Pastel 0.7 5'li,Versatil Kalem,Bic,29.04,20,34.85,,Tanımsız,0,0,5.0,42,0,0
16532.0,KSK-64,,Keskin Color Okul Etiketi Harry Potter Ders Programlı 3'lü,Etiket,Keskin Color,10.72,20,12.86,,Tanımsız,0,0,,,0,0
16535.0,KSK-68,,Keskin Color Okul Etiketi Lol Ders Programlı 3'lü,Etiket,Keskin Color,10.72,20,12.86,,Tanımsız,0,0,,,0,0
16534.0,KSK-66,,Keskin Color Okul Etiketi Lol Omg Ders Programlı 3'lü,Etiket,Keskin Color,10.72,20,12.86,,Tanımsız,0,0,,,0,0
16693.0,SCS-122,8690187381508,Scrikss Office Pembe Fosforlu Kalem SH712,Fosforlu Kalem,Scrikss,4.45,20,5.34,,Tanımsız,0,0,39.0,46,0,0
16694.0,SCS-119,8690187381485,Scrikss Office Sarı Fosforlu Kalem SH712,Fosforlu Kalem,Scrikss,4.45,20,5.34,,Tanımsız,0,0,112.0,46,0,0
16695.0,SCS-120,8690187381492,Scrikss Office Turuncu Fosforlu Kalem SH712,Fosforlu Kalem,Scrikss,4.45,20,5.34,,Tanımsız,0,0,55.0,46,0,0
16696.0,SCS-121,8690187381522,Scrikss Office Yeşil Fosforlu Kalem SH712,Fosforlu Kalem,Scrikss,0.0,20,0.0,,Tanımsız,0,0,84.0,46,0,0
16697.0,SCS-116,8690187382437,Scrikss SH712 Fosforlu Kalem 5'li Blister,Fosforlu Kalem,Scrikss,0.01,20,0.01,,Tanımsız,0,0,,,0,0
16698.0,SCS-133,4007817019535,Staedtler Fosforlu Kalem Kesik Uç 4'lü Blister 1 Renk Hediyeli,Fosforlu Kalem,Scrikss,30.24,20,36.29,,Tanımsız,0,0,16.0,45,0,0
,,8690187355769,Scrikss 78 DK Tükenmez Kalem Takımı Bordo,Kalem Seti,Scrikss,,20,,,Tanımsız,0,0,1.0,66,0,0
